epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7425,0.79096,1.3937,3.23018,0.90111,0.11111,0.21277,0.06696,0.05358,0.18464,0.34043,0.13396,0.08376,0.60905,0.65913,3.19601,0.87485,0.09406,6e-05,6e-05
2,16.0138,0.71111,1.19331,1.34208,0.84733,0.55798,0.44681,0.54021,0.47196,0.00534,0.55319,0.00598,0.00157,0.57243,26.8497,2.21865,0.91466,0.0871287,0.000128713,0.000128713
3,21.2534,0.59374,0.81792,0.58256,0.81685,0.91383,0.90271,0.95072,0.86905,0,0,0,0,0.46433,48.2038,0.79323,0.8333,0.080196,0.00019604,0.00019604
4,28.1239,0.60569,0.7602,0.62808,0.8255,0.97827,0.95771,0.98777,0.87381,0.47625,0.42553,0.25429,0.06394,0.51762,10.3896,0.63407,0.83819,0.073262,0.000261981,0.000261981
5,33.0122,0.57314,0.74938,0.54422,0.82173,1,0.96702,0.99458,0.89378,1,0.82979,0.91217,0.74643,0.55398,1.33643,1.42406,0.84033,0.0663265,0.000326536,0.000326536
6,38.9861,0.57379,0.6741,0.51927,0.8119,0.95781,1,0.99417,0.91501,0.90759,0.87234,0.89971,0.68229,0.47116,2.02911,0.69044,0.83536,0.0593897,0.000389705,0.000389705
7,44.2266,0.5264,0.76361,0.48869,0.8151,0.98608,0.97872,0.9938,0.89973,0.94213,0.93617,0.9173,0.74724,0.49121,1.74132,1.0574,0.83881,0.0524515,0.000451488,0.000451488
8,49.1001,0.552,0.67035,0.51886,0.8236,0.97,0.97872,0.9938,0.92251,0.97,0.97872,0.9938,0.80992,0.49304,1.04375,1.26691,0.85506,0.0455119,0.000511885,0.000511885
9,55.8084,0.5217,0.68362,0.52034,0.80674,0.95756,1,0.99376,0.89019,0.95756,1,0.99376,0.89677,0.47799,0.53288,0.79899,0.83638,0.0385709,0.000570896,0.000570896
10,60.9787,0.53734,0.68404,0.49638,0.83424,0.97759,1,0.99333,0.90544,0.97759,1,0.99333,0.8965,0.44063,0.5774,0.55957,0.83237,0.0316285,0.000628521,0.000628521
11,66.5129,0.53635,0.728,0.46478,0.82315,0.97697,1,0.99375,0.93222,0.97697,1,0.99375,0.73674,0.49217,1.55396,0.54079,0.83256,0.0246848,0.00068476,0.00068476
12,72.3303,0.48691,0.55722,0.42902,0.81551,0.97697,1,0.99375,0.90956,0.97665,0.88985,0.92785,0.79628,0.4825,4.13702,0.60126,0.84284,0.0177396,0.000739613,0.000739613
13,77.6329,0.55003,0.63454,0.47283,0.81846,0.97721,1,0.99333,0.90832,0.89561,0.82979,0.8445,0.76236,0.46091,4.26345,0.49844,0.83914,0.0107931,0.00079308,0.00079308
14,84.1321,0.54956,0.59793,0.44623,0.82318,0.96109,1,0.99375,0.883,0.9368,0.95745,0.96451,0.86411,0.48796,3.36998,0.76143,0.83923,0.00384516,0.000845161,0.000845161
15,88.9338,0.49465,0.53309,0.40588,0.80829,1,0.89117,0.98855,0.92223,0.99205,0.87234,0.96798,0.83934,0.45035,3.11638,0.78152,0.82964,0.0008614,0.0008614,0.0008614
16,94.2014,0.49739,0.54839,0.40239,0.80851,0.98968,1,0.995,0.90705,0.98968,1,0.995,0.86787,0.47588,1.2981,0.83381,0.83536,0.0008515,0.0008515,0.0008515
17,100.611,0.49417,0.54604,0.39857,0.82073,0.97319,1,0.99417,0.92029,0.97319,1,0.99417,0.88572,0.46254,1.2338,0.61939,0.83476,0.0008416,0.0008416,0.0008416
18,105.952,0.512,0.65829,0.4121,0.81443,0.97827,1,0.995,0.89018,0.97827,1,0.995,0.88994,0.50285,0.86784,0.42464,0.838,0.0008317,0.0008317,0.0008317
19,112.222,0.51356,0.63549,0.4089,0.80226,0.98349,1,0.995,0.9118,0.98349,1,0.995,0.95787,0.4797,0.26824,0.51056,0.83807,0.0008218,0.0008218,0.0008218
20,117.22,0.5048,0.53373,0.40467,0.81859,0.97512,1,0.99417,0.90153,0.97512,1,0.99417,0.90078,0.48397,0.23377,0.70012,0.8352,0.0008119,0.0008119,0.0008119
21,122.505,0.46171,0.51534,0.38921,0.80665,0.97433,1,0.99292,0.89616,0.97433,1,0.99292,0.91115,0.49724,0.21064,0.74244,0.83429,0.000802,0.000802,0.000802
22,128.734,0.4776,0.52573,0.39821,0.81097,0.97693,1,0.99292,0.88596,0.97693,1,0.99292,0.93286,0.46886,0.19121,0.75475,0.83304,0.0007921,0.0007921,0.0007921
23,133.735,0.51924,0.63754,0.39836,0.80531,0.97753,1,0.99292,0.93232,0.97753,1,0.99292,0.92278,0.43374,0.23937,0.64721,0.82793,0.0007822,0.0007822,0.0007822
24,139.926,0.47882,0.59213,0.40093,0.80608,0.97717,1,0.99292,0.90253,0.97717,1,0.99292,0.90624,0.43948,0.2094,0.56377,0.82357,0.0007723,0.0007723,0.0007723
25,145.282,0.48002,0.57621,0.38694,0.79952,0.95729,1,0.99128,0.89054,0.95729,1,0.99128,0.93824,0.46137,0.1878,0.53153,0.82601,0.0007624,0.0007624,0.0007624
26,150.347,0.50998,0.6506,0.39124,0.81176,0.95708,1,0.9925,0.89338,0.95708,1,0.9925,0.97365,0.49869,0.19432,0.42457,0.83586,0.0007525,0.0007525,0.0007525
27,156.659,0.48802,0.58179,0.39568,0.80832,0.9761,1,0.99417,0.92788,0.9761,1,0.99417,0.94251,0.44416,0.19573,0.46548,0.83544,0.0007426,0.0007426,0.0007426
28,161.677,0.45489,0.49112,0.37402,0.80424,0.97648,1,0.99458,0.94447,0.97648,1,0.99458,0.95963,0.42203,0.1845,0.52218,0.82512,0.0007327,0.0007327,0.0007327
29,167.483,0.47703,0.57493,0.37121,0.80741,0.97691,1,0.99458,0.94419,0.97691,1,0.99458,0.95683,0.41157,0.184,0.46547,0.82425,0.0007228,0.0007228,0.0007228
30,173.152,0.47086,0.49794,0.37173,0.80333,0.97741,1,0.99458,0.94021,0.97741,1,0.99458,0.96425,0.40882,0.15436,0.39265,0.8227,0.0007129,0.0007129,0.0007129
31,178.341,0.47817,0.54009,0.36201,0.80208,0.97784,1,0.99458,0.91016,0.97784,1,0.99458,0.94477,0.4132,0.15142,0.40587,0.82598,0.000703,0.000703,0.000703
32,184.745,0.4596,0.55968,0.3698,0.81218,0.97752,1,0.99458,0.93356,0.97752,1,0.99458,0.95733,0.41622,0.17283,0.30884,0.825,0.0006931,0.0006931,0.0006931
33,189.612,0.42816,0.55822,0.34529,0.80529,0.97729,1,0.99458,0.94492,0.97729,1,0.99458,0.97074,0.41857,0.17408,0.32859,0.82795,0.0006832,0.0006832,0.0006832
34,194.96,0.45527,0.5539,0.34863,0.80058,0.99951,1,0.995,0.92727,0.99951,1,0.995,0.96498,0.41708,0.17345,0.32276,0.82544,0.0006733,0.0006733,0.0006733
35,201.034,0.44708,0.4723,0.33515,0.806,0.99682,1,0.995,0.94997,0.99682,1,0.995,0.98013,0.35991,0.15276,0.30372,0.81971,0.0006634,0.0006634,0.0006634
36,206.125,0.45559,0.49229,0.34503,0.8026,0.99311,1,0.995,0.9519,0.99311,1,0.995,0.96925,0.33953,0.15083,0.28639,0.81498,0.0006535,0.0006535,0.0006535
37,212.492,0.47274,0.56297,0.35268,0.80248,0.98031,1,0.995,0.94774,0.98031,1,0.995,0.97286,0.36111,0.14584,0.27514,0.8136,0.0006436,0.0006436,0.0006436
38,217.589,0.45922,0.53474,0.34343,0.80472,0.97697,1,0.99292,0.94505,0.97697,1,0.99292,0.98067,0.38517,0.14475,0.3217,0.82027,0.0006337,0.0006337,0.0006337
39,222.551,0.44979,0.53507,0.35466,0.79157,0.977,1,0.99292,0.9559,0.977,1,0.99292,0.97582,0.38549,0.16854,0.29894,0.81797,0.0006238,0.0006238,0.0006238
40,228.871,0.48484,0.58255,0.35238,0.81219,0.97725,1,0.99333,0.94683,0.97725,1,0.99333,0.96727,0.39164,0.1822,0.28977,0.8191,0.0006139,0.0006139,0.0006139
41,233.845,0.44841,0.59302,0.36002,0.82169,0.97725,1,0.99417,0.94962,0.97725,1,0.99417,0.97485,0.37451,0.17425,0.28416,0.82031,0.000604,0.000604,0.000604
42,240.221,0.45332,0.51762,0.34512,0.82062,0.97727,1,0.99458,0.93979,0.97727,1,0.99458,0.97169,0.35099,0.15211,0.32206,0.82328,0.0005941,0.0005941,0.0005941
43,245.297,0.45254,0.56719,0.35196,0.80766,0.97722,1,0.99458,0.94928,0.97722,1,0.99458,0.97194,0.31939,0.16877,0.33565,0.80886,0.0005842,0.0005842,0.0005842
44,250.38,0.43869,0.51977,0.34328,0.79913,0.97795,1,0.995,0.95267,0.97795,1,0.995,0.97512,0.28699,0.20815,0.30842,0.81062,0.0005743,0.0005743,0.0005743
45,256.629,0.41403,0.50885,0.34523,0.79601,0.97807,1,0.995,0.95354,0.97807,1,0.995,0.96625,0.27687,0.20459,0.31587,0.81321,0.0005644,0.0005644,0.0005644
46,261.581,0.43696,0.48164,0.33927,0.79841,0.97771,1,0.995,0.94546,0.97771,1,0.995,0.97025,0.31554,0.14554,0.30376,0.82296,0.0005545,0.0005545,0.0005545
47,267.181,0.44594,0.53979,0.3408,0.79339,0.97713,1,0.99458,0.96824,0.97713,1,0.99458,0.98024,0.29101,0.14219,0.26318,0.81179,0.0005446,0.0005446,0.0005446
48,272.933,0.42622,0.46477,0.3277,0.79203,0.97871,1,0.995,0.96599,0.97871,1,0.995,0.97431,0.31609,0.16462,0.28227,0.81333,0.0005347,0.0005347,0.0005347
49,277.771,0.42967,0.47513,0.32039,0.79868,0.98082,1,0.995,0.96701,0.98082,1,0.995,0.96822,0.28839,0.15758,0.29149,0.81165,0.0005248,0.0005248,0.0005248
50,284.08,0.46197,0.51222,0.34364,0.79364,0.97908,1,0.995,0.95557,0.97908,1,0.995,0.96619,0.28375,0.15127,0.28873,0.8119,0.0005149,0.0005149,0.0005149
51,289.294,0.42758,0.51986,0.32476,0.79251,0.97741,1,0.99458,0.94335,0.97741,1,0.99458,0.97633,0.30292,0.14446,0.28994,0.81305,0.000505,0.000505,0.000505
52,294.154,0.45086,0.57324,0.33929,0.79691,0.97706,1,0.99375,0.95019,0.97706,1,0.99375,0.9799,0.30279,0.14249,0.28804,0.81755,0.0004951,0.0004951,0.0004951
53,300.539,0.43314,0.46027,0.32337,0.79851,0.97636,1,0.99375,0.94984,0.97636,1,0.99375,0.97589,0.31058,0.14659,0.28692,0.82027,0.0004852,0.0004852,0.0004852
54,305.752,0.45933,0.49466,0.34078,0.80337,0.9752,1,0.99375,0.93767,0.9752,1,0.99375,0.96019,0.30122,0.14191,0.31772,0.81824,0.0004753,0.0004753,0.0004753
55,311.642,0.44214,0.50927,0.33066,0.79703,0.97526,1,0.99375,0.93635,0.97526,1,0.99375,0.95831,0.30665,0.12849,0.32277,0.81694,0.0004654,0.0004654,0.0004654
56,317.348,0.46385,0.57321,0.33456,0.8049,0.97843,1,0.995,0.95101,0.97843,1,0.995,0.97422,0.28709,0.11827,0.29633,0.8165,0.0004555,0.0004555,0.0004555
57,322.38,0.41456,0.4563,0.32268,0.79458,0.98984,1,0.995,0.9568,0.98984,1,0.995,0.96645,0.27885,0.11712,0.29693,0.81458,0.0004456,0.0004456,0.0004456
58,328.723,0.41433,0.43738,0.31125,0.79221,0.99332,1,0.995,0.96154,0.99332,1,0.995,0.97997,0.28339,0.12288,0.29281,0.8067,0.0004357,0.0004357,0.0004357
59,333.701,0.4242,0.45376,0.31595,0.79804,0.99522,1,0.995,0.95527,0.99522,1,0.995,0.98281,0.28263,0.13134,0.25697,0.81498,0.0004258,0.0004258,0.0004258
60,339.427,0.41074,0.45483,0.31035,0.80135,0.99551,1,0.995,0.96058,0.99551,1,0.995,0.9753,0.25046,0.13537,0.24106,0.81175,0.0004159,0.0004159,0.0004159
61,344.972,0.40498,0.51059,0.31147,0.80329,0.9957,1,0.995,0.95898,0.9957,1,0.995,0.97407,0.24735,0.12981,0.26073,0.81135,0.000406,0.000406,0.000406
62,349.976,0.40914,0.47332,0.32045,0.79763,0.99533,1,0.995,0.95862,0.99533,1,0.995,0.97726,0.25566,0.12904,0.26724,0.81214,0.0003961,0.0003961,0.0003961
63,356.401,0.40408,0.50713,0.30645,0.79649,0.99433,1,0.995,0.95997,0.99433,1,0.995,0.98101,0.24711,0.13772,0.24622,0.80853,0.0003862,0.0003862,0.0003862
64,361.381,0.40808,0.50402,0.32062,0.81088,0.99477,1,0.995,0.95252,0.99477,1,0.995,0.97311,0.24336,0.13288,0.24828,0.80714,0.0003763,0.0003763,0.0003763
65,366.597,0.40573,0.52725,0.3058,0.79882,0.99508,1,0.995,0.95285,0.99508,1,0.995,0.96355,0.245,0.13436,0.25227,0.80669,0.0003664,0.0003664,0.0003664
66,372.826,0.40744,0.55132,0.30502,0.80419,0.99526,1,0.995,0.95846,0.99526,1,0.995,0.968,0.25905,0.13458,0.24342,0.80712,0.0003565,0.0003565,0.0003565
67,377.626,0.35464,0.41341,0.28363,0.80478,0.99539,1,0.995,0.96462,0.99539,1,0.995,0.972,0.25129,0.1344,0.23951,0.80802,0.0003466,0.0003466,0.0003466
